dabbl 10012:2:40605,40605
daffodil 10012:2:19553,19553
dai 10012:97:542,542,1201,3442,3720,4034,4166,4242,4293,4456,4556,4614,5058,5063,5525,6119,6183,6212,6281,6331,6664,7079,8301,8400,8561,8581,9195,10539,10868,11297,11825,12230,12634,13081,13123,14198,14480,14726,15129,15184,15185,15301,15323,18489,19978,20651,21814,21851,22815,22837,25353,25377,26614,27214,28163,28490,29289,29734,29918,30450,30499,30501,30961,31845,31887,32452,33322,33338,33682,34243,34819,34918,35332,35360,35699,35731,36960,36995,37119,37135,37136,37169,37283,38232,39267,39272,39415,39563,39602,40019,40020,40933,41126,41835,41870,41910,42074
dainti 10012:5:30390,30390,31202,39324,39340
daintili 10012:3:14807,14807,25664
daisi 10012:21:2369,2369,9682,9798,9833,10598,10906,11877,12863,14223,14299,14646,14746,15062,15198,15233,19471,23258,33241,33718,38985
dale 10012:4:2167,2167,27672,28768
dam 10012:10:10350,10350,10391,12876,13944,13964,14967,15950,21277,21328
damag 10012:9:20537,20537,41995,42002,42008,42032,42062,42066,42149
damp 10012:5:924,924,20704,24303,38395
dana 10012:5:1379,1379,5289,7847,14473
danc 10012:17:761,761,9239,12923,14859,19592,19942,28436,30200,36268,36285,36291,36293,36296,36301,36303,39635
danger 10012:24:4632,4632,6204,6328,7180,7432,7499,7513,7570,7613,8688,9024,9113,9132,9584,17172,25305,27254,27559,27852,31305,34967,37751,38557
dangl 10012:2:14789,14789
dank 10012:2:16137,16137
dare 10012:3:7501,7501,31441
dark 10012:61:506,506,1475,1590,1901,2246,3998,4581,4643,4686,5244,5364,5384,5915,6174,6726,6840,7236,7407,7805,8429,9082,9819,9871,11086,12660,15249,15331,16154,16654,17513,18050,19530,20249,22386,23209,23493,24300,25136,25144,28349,29429,29571,29780,30498,30521,30617,33325,35689,35889,36077,36107,36333,36428,36476,36504,37582,38424,40132,40386,40431
darken 10012:4:2311,2311,13083,22403
darker 10012:2:15151,15151
darkest 10012:7:4429,4429,6791,8917,22266,28049,32587
darkli 10012:4:8085,8085,12719,31274
darl 10012:5:10933,10933,23266,26675,30398
dart 10012:5:13716,13716,26481,26573,31565
darwin 10012:2:32853,32853
dash 10012:18:589,589,4729,6139,6383,8463,9894,9964,13015,14212,25314,27759,28794,28918,29887,31560,34025,35606
data 10012:3:12384,12384,41987
date 10012:6:31,31,41836,42392,42685,42711
dauntless 10012:2:34122,34122
david 10012:3:16001,16001,17067
dawn 10012:3:6884,6884,19551
daylight 10012:2:40427,40427
dazzl 10012:2:15308,15308
de 10012:8:2989,2989,14468,21555,21589,21679,21703,40712
dead 10012:39:1260,1260,1783,7589,9056,9467,14397,14904,15313,15341,18889,20475,21340,22708,22862,23244,23630,26485,26519,29347,29459,29651,34108,34455,35070,35073,35136,35313,35367,35368,36014,37073,37388,38564,40060,40063,40065,40707,40864
deadli 10012:2:9121,9121
deal 10012:3:6477,6477,26427
dearest 10012:2:11902,11902
dearli 10012:2:31292,31292
death 10012:14:146,146,1311,1597,1902,2084,3676,12271,12293,19915,32306,36454,40197,41055
debouch 10012:2:28681,28681
decad 10012:2:22106,22106
decai 10012:8:1312,1312,1364,15314,16439,22438,27043,35349
decemb 10012:9:15135,15135,15271,27201,33166,37057,37106,37132,37471
decent 10012:2:9102,9102
decid 10012:4:6181,6181,8567,32018
declar 10012:2:5996,5996
declin 10012:2:39292,39292
decliv 10012:4:8271,8271,12564,15687
decor 10012:6:4904,4904,22730,32255,36158,36369
decreas 10012:3:21415,21415,21441
decurren 10012:2:18773,18773
deduct 10012:2:42355,42355
deep 10012:63:1660,1660,2233,2284,2322,2810,3168,3506,4732,5837,7244,8044,8100,8276,9818,10978,11275,12476,12496,13115,13507,13593,13814,13976,14185,14917,15279,15521,15636,16244,16876,17990,19373,19460,19709,20939,22581,23922,24836,26731,28089,28962,29961,30019,30639,31010,31091,32341,33361,34939,36220,36538,36859,36863,37363,38094,38180,38233,38316,38592,39237,39625,40220
deepen 10012:2:6687,6687
deeper 10012:6:7799,7799,11869,12566,28665,31168
deepest 10012:6:874,874,13879,22994,33544,40774
deepli 10012:5:3055,3055,22591,27091,36374
deer 10012:38:964,964,2061,4276,9261,9334,9343,12714,13137,13223,13257,13271,13830,14544,15025,19362,19593,19652,22071,23405,23650,25202,25744,26171,32879,32911,33047,33081,33485,33588,34827,34834,34879,34906,34993,35808,38471,39418
defect 10012:8:41905,41905,41982,41994,42071,42096,42119,42226
defend 10012:2:33442,33442
defens 10012:2:17218,17218
defil 10012:2:8670,8670
defin 10012:6:5390,5390,11036,11736,25153,29804
definit 10012:3:9730,9730,9916
deflect 10012:3:5408,5408,31114
defraud 10012:2:29730,29730
deftli 10012:4:25291,25291,31083,31727
deg 10012:23:2432,2432,2433,2461,2462,2761,2768,2769,2873,2908,2909,3119,3862,8600,8601,13312,13313,14422,14423,28636,28637,37172,37173
degrad 10012:6:2177,2177,9408,9413,9426,39089
degre 10012:10:2883,2883,5791,7126,7837,23155,27643,27894,29208,34446
deject 10012:2:30552,30552
delet 10012:2:42221,42221
deliber 10012:9:1725,1725,1859,12245,12296,15541,33494,33905,36314
delic 10012:21:3964,3964,4954,5395,10940,11131,12782,14316,14829,15589,17442,22988,23186,23892,25956,29328,30998,32923,36346,36884,40617
