gabl 10012:4:12490,12490,23575,26239
gabriel 10012:10:308,308,316,39654,40037,40250,40270,40338,40568,40600
gage 10012:2:24623,24623
gai 10012:6:835,835,12851,13026,18657,24478
gain 10012:14:3865,3865,5225,7437,7583,8945,16052,16071,21023,24569,27535,32182,37500,37600
gait 10012:2:15143,15143
gala 10012:2:5062,5062
gale 10012:15:5319,5319,5524,6846,18511,23196,24112,26850,26910,27171,27350,27421,27891,29219,33335
game 10012:7:23382,23382,33487,34621,34692,34715,35351
gang 10012:3:2584,2584,37802
gap 10012:13:8604,8604,10609,16435,19681,20637,21547,21574,21595,21608,22874,27072,29120
garb 10012:3:11220,11220,16085
garden 10012:52:306,306,524,730,922,1747,2363,3530,4843,6404,6633,9034,9360,9834,10424,11175,11886,11964,13347,14027,14290,14293,14652,15877,16213,17644,19421,19509,19539,22031,26779,28736,29970,33239,33720,36513,36818,37441,37495,37765,37853,37900,38194,38524,38675,38747,38854,39016,39767,39818,40614,40943
garish 10012:2:5316,5316
garment 10012:2:32874,32874
garnet 10012:2:2376,2376
garrul 10012:2:24480,24480
gase 10012:2:1677,1677
gash 10012:2:9058,9058
gate 10012:6:114,114,390,871,6459,23995
gatewai 10012:5:8940,8940,9669,9709,34687
gather 10012:34:858,858,1182,1334,10114,11091,13138,13563,15144,16716,16734,17111,18668,24262,24460,24525,24816,25256,25345,25538,25981,26115,27932,28603,32253,33286,35490,35510,35966,36780,37064,37861,38829,40603
gauzi 10012:3:5141,5141,39679
gave 10012:11:4038,4038,10496,14968,17242,17392,28697,29173,33706,36406,40432
gayest 10012:2:13236,13236
gaze 10012:21:1128,1128,3220,5905,7267,8703,9691,10662,10856,11742,17858,19323,23385,27452,28207,28890,29166,32194,33843,34151,36974
gbnewbi 10012:2:42412,42412
gem 10012:4:11617,11617,13663,13922
gener 10012:116:348,348,391,608,625,1062,1287,2624,2705,2902,3021,3038,3331,4256,4294,5194,5380,5481,5561,5759,6074,6296,6571,6595,7457,7609,7777,7989,8039,8789,9216,9475,9491,9503,11429,11487,11491,11621,12243,12533,12804,12823,13314,13374,13675,14868,14923,15459,16117,16129,16375,16507,16685,16736,17590,17710,17767,17967,18680,18777,18829,19248,20218,20580,20619,21377,21519,21642,21788,22636,22654,23343,23627,23750,24496,24547,25114,26038,26591,26965,27499,28446,28528,28706,29225,31005,32655,32656,32842,33039,33698,35117,35153,35229,35571,35652,36280,36711,36809,36911,37069,37164,37258,38579,38603,38955,39524,40309,40951,41039,41107,41215,41309,42278,42293,42557
genial 10012:2:26321,26321
geniu 10012:2:31697,31697
gentian 10012:8:10289,10289,10600,11876,14298,14743,33242,33716
gentl 10012:16:1328,1328,4423,6841,10546,10910,13086,15888,23309,27471,29080,29437,29981,32130,33500,35417
gentlest 10012:3:23190,23190,27117
gentli 10012:10:1315,1315,4403,13568,15399,15525,21267,26398,29624,32958
genu 10012:3:21857,21857,21899
geolog 10012:6:1800,1800,3209,10756,12151,30081
geologi 10012:2:28530,28530
geologist 10012:3:5786,5786,15458
geranium 10012:2:38307,38307
german 10012:2:35941,35941
germin 10012:3:20416,20416,25059
gesticul 10012:2:6141,6141
gestur 10012:19:5879,5879,9881,11140,17760,19267,25654,27325,27481,27822,28967,29257,29292,29435,29983,30883,31065,32042,33897
geyser 10012:3:1503,1503,1773
giant 10012:31:891,891,975,2359,3588,4153,7696,8865,16160,18591,18776,19106,19760,19828,19906,20077,20323,20588,20976,21865,22143,24102,24975,26852,26967,27121,27436,35361,36288,38084,38120
gibb 10012:5:1380,1380,5290,7846,9647
giddi 10012:3:25297,25297,32639
gift 10012:2:25415,25415
gigant 10012:5:1772,1772,7980,16340,26081
gigantea 10012:3:19626,19626,22110
gild 10012:2:18017,18017
gilia 10012:10:11134,11134,12853,15445,18042,36663,36841,37319,38007,39233
girdl 10012:7:11618,11618,12843,13438,15900,38963,39191
girt 10012:2:37966,37966
girth 10012:3:27152,27152,32994
give 10012:52:13,13,815,4641,7472,9038,10183,10717,11630,11846,12422,13530,14330,15234,15346,15434,15777,16174,17009,18504,18526,19560,19933,21136,21334,22237,23520,23576,23917,24205,25236,26566,27522,28206,28363,28496,28499,29319,29753,29940,31593,35503,36889,37077,37908,38123,39611,39905,40398,41579,42063,42111
glace 10012:6:14469,14469,21556,21590,21680,21704
glacial 10012:69:1661,1661,1806,1945,2095,2109,2178,2235,2609,3052,3101,3124,3136,3298,3485,3641,3841,4204,4596,5745,5768,6542,6565,8065,8068,8174,9409,10364,10536,10975,11057,11325,11356,11421,11441,12979,13426,14427,15004,15332,15809,16459,16528,19794,20631,20862,21420,21427,21447,21526,21728,21818,21831,21841,21850,22140,26331,27033,27040,31622,31650,32491,35101,35198,37504,39059,39094,39116,39147
glaciat 10012:6:3044,3044,5599,11590,11773,34351
glacier 10012:234:64,64,73,76,125,218,648,665,703,1701,1850,1888,1911,1978,1985,2034,2097,2265,2292,2404,2420,2423,2472,2509,2521,2529,2545,2560,2571,2576,2581,2591,2602,2617,2635,2668,2692,2706,2714,2740,2754,2762,2770,2794,2844,2859,2886,2899,2911,2955,2960,2967,3069,3111,3315,3325,3333,3343,3348,3356,3386,3397,3414,3453,3456,3685,3871,3886,3898,4000,4046,4060,4074,4084,4089,4116,4144,4160,4172,4183,4191,4212,4218,4818,5009,5547,5560,5606,5637,5657,5847,5917,6072,6248,6341,6521,6692,6736,6769,6772,7022,7227,7248,7254,7282,7319,7360,7381,7396,7430,7442,7508,7611,7700,7733,7922,7955,8120,8203,8233,8249,8268,8326,8332,8377,8515,8528,9005,9363,9393,9449,10308,10326,10372,10407,10605,10899,11052,11237,11251,11254,11338,11428,11755,11778,11787,11801,11833,11841,11913,12063,12075,12190,12197,12201,12248,12323,12347,12363,12411,12502,12578,12882,13232,13336,13615,13623,13677,13847,13856,13932,13939,13949,13968,14109,14148,14164,14235,14240,14410,14445,14570,14958,15461,15552,15560,15762,15975,16406,16423,16430,18738,19410,21533,21602,21606,21640,21649,21691,21716,21718,21795,22863,26311,27393,29155,29805,30111,31257,31616,31639,31643,31662,31892,31941,32446,32462,33205,33255,33517,33547,33759,33804,34796,34814,34844,35317,35389,36236,36255,38520,38567,39074,39296
glad 10012:18:4884,4884,8559,10109,10777,12901,24465,27438,27856,28888,28948,30550,30897,32257,32443,33814,35553,40610
glade 10012:2:19596,19596
gladli 10012:6:5997,5997,6381,6880,10861,35961
glanc 10012:9:3667,3667,3729,5480,12601,15190,20379,20491,35630
glare 10012:5:1132,1132,6431,11470,38570
glass 10012:6:3156,3156,5434,20235,25739,31126
glassi 10012:6:5855,5855,10245,11812,30181,31335
glassili 10012:2:13554,13554
glaze 10012:2:7488,7488
gleam 10012:6:7937,7937,9657,13019,31273,36168
glean 10012:4:30657,30657,30764,31142
glee 10012:2:24396,24396
glen 10012:9:926,926,20482,20915,24305,27445,36540,38311,38396
glide 10012:14:1155,1155,5864,8359,9873,10202,10259,12918,13526,25267,25828,28117,29013,29087
glimps 10012:5:6411,6411,11103,16054,25827
glint 10012:8:2314,2314,4918,15193,25290,30129,30165,31203
glisten 10012:3:10891,10891,40894
glister 10012:2:29557,29557
glitter 10012:5:5317,5317,6111,9948,36254
gloam 10012:5:6763,6763,10793,30616,33664
globe 10012:3:11005,11005,32663
gloom 10012:2:15161,15161
gloomi 10012:8:676,676,3873,7348,9057,13872,32488,37096
glori 10012:15:559,559,5114,10924,13172,17563,18937,19472,19523,19829,20459,20957,29670,29731,39724
glorifi 10012:4:342,342,3448,37458
gloriou 10012:49:574,574,758,1296,1339,3653,5067,5377,5467,5906,6440,6552,6889,6923,7691,7829,8095,8939,9455,10092,10206,10478,11227,11719,12919,13053,13240,15369,16172,17833,18010,18445,19510,26349,26899,27527,29043,29645,29933,30241,31857,33660,34119,36203,36444,36596,37008,38266,40352
glorious 10012:9:486,486,3725,5202,15299,22093,24687,27782,30038
glossi 10012:11:11888,11888,18451,23898,24014,24611,25233,27383,31116,38159,40835
glow 10012:22:459,459,540,801,3196,3468,5993,6683,6943,7902,12526,12698,18435,19569,27370,30979,32290,33542,36680,36891,39562,40810
glume 10012:2:14784,14784
gnaw 10012:5:17870,17870,25801,39468,40150
goal 10012:2:42270,42270
goat 10012:4:34738,34738,34743,34792
god 10012:6:6541,6541,6699,19618,30239,32608
gold 10012:40:520,520,1026,3481,3482,5831,6272,8673,8700,8907,8919,9516,9589,10467,10533,12801,13077,13243,16030,18560,19562,23383,30170,35058,35234,35276,35284,35359,35374,35395,35484,35542,35812,35964,36687,36826,36935,37769,40464,40812
golden 10012:25:113,113,389,460,553,870,3441,6458,10479,12983,18951,20348,23994,27405,27923,29288,29617,30449,33573,34977,36578,37270,37346,38877,39639
goldenrod 10012:14:3479,3479,12703,13486,14047,14648,14764,15061,15110,18975,27131,33532,38309,38533
good 10012:33:498,498,4994,6264,6733,7171,9613,10742,11196,22746,24728,25562,26179,26409,26426,26639,28583,29713,30146,30205,30840,32363,33414,34097,35544,35676,39440,39915,40471,40474,40523,40546,40793
gordon 10012:2:39833,39833
gorg 10012:21:679,679,784,5402,6358,6482,6506,7273,8541,8605,12960,14498,18766,28126,32099,32588,35294,36023,38660,40091,40320
gorgeou 10012:3:13038,13038,14067
gossip 10012:2:25410,25410
gothic 10012:2:7984,7984
govern 10012:8:21505,21505,21511,21950,26076,35476,37051,41503
gowri 10012:2:26548,26548
grace 10012:15:12765,12765,14910,16787,18543,19771,20603,23114,23953,25308,27188,33046,33885,36371,36981
gracefulli 10012:9:1220,1220,4045,11040,15905,17461,17826,23204,40319
gradat 10012:2:24919,24919
grade 10012:3:700,700,8757
gradual 10012:29:2715,2715,2741,3944,3963,5273,6686,7496,10619,12220,12253,14153,14224,15150,15316,15402,15413,21347,21363,22188,23316,25582,33699,37087,37162,38377,39101,39291,39859
graduat 10012:4:3878,3878,15659,36389
grai 10012:60:501,501,1074,1517,3828,3887,5804,5842,6051,7788,7802,7839,9165,9631,10173,10665,11019,11459,11727,12739,12914,13022,14494,14709,16607,16805,18898,19022,19227,22426,22723,24200,24874,24933,25138,25145,25242,25473,26032,26293,27368,27758,28121,28895,29102,29461,29796,29858,30282,30615,30853,32898,32901,33777,34062,34091,36040,40349,40841,40990
grain 10012:12:11082,11082,11844,15387,17552,18947,23622,24632,27675,30169,37620,40006
gramina 10012:2:10432,10432
grand 10012:45:203,203,382,401,1990,2259,2490,3684,4725,8518,9052,10896,11468,12952,14447,15910,17047,17297,17428,18972,18987,19318,19751,20567,20621,21700,21787,22384,22680,24088,24724,24737,26601,27338,27454,28081,28139,28834,29231,32736,35260,35358,35653,37047,37763
grander 10012:5:5112,5112,17073,33684,33686
grandest 10012:9:449,449,876,1741,5059,9439,12931,15988,28542
grandeur 10012:24:618,618,2390,3639,4893,5308,5897,7997,8591,8855,12162,16074,16177,18086,18398,19093,20044,20056,20123,22841,27194,29901,32493,36099
grandiflora 10012:2:38161,38161
grandli 10012:7:4151,4151,5243,5404,11641,22546,29248
granit 10012:42:1367,1367,1419,1442,1874,2279,3245,3493,5807,5866,6052,6436,7191,7789,8131,10185,11656,12483,12508,12740,12879,13021,13464,13501,13570,16222,18747,19413,19787,20315,21393,22857,24934,28329,29851,31943,31959,33563,33808,34053,35059,35644
grant 10012:3:34667,34667,42329
granul 10012:4:3895,3895,4460,14140
granular 10012:3:7138,7138,9896
grape 10012:3:35944,35944,36797
grasp 10012:3:25840,25840,27570
grass 10012:51:6618,6618,9998,10442,10638,12610,12685,12868,12988,13882,14043,14303,14313,14389,14523,14728,14773,15048,15070,15094,15177,15200,15582,15829,17126,17416,19461,19497,20353,21067,22274,22331,22494,23256,24436,25755,26633,26848,27474,27494,27588,31741,31834,33315,33456,33599,33630,34902,36853,37713,37747
grasshopp 10012:3:35534,35534,39649
grassi 10012:6:1083,1083,1326,14603,14897,15615
grate 10012:5:6649,6649,13112,36721,39645
gratefulli 10012:3:37242,37242,42516
grave 10012:2:23243,23243
gravel 10012:14:1044,1044,10448,28693,35068,35129,35139,35168,35235,35275,35378,35824,36016,39129
gravelli 10012:3:18147,18147,35055
graybeard 10012:2:35454,35454
grayer 10012:2:19073,19073
grayish 10012:7:16640,16640,18329,19041,19211,22173,24136
great 10012:112:394,394,456,629,952,1604,1693,1833,1972,2038,2054,2184,2278,2482,2793,3000,3307,4142,4169,4217,4415,4476,4520,5493,5506,5614,5724,6215,6449,6452,8596,9301,9344,9469,9543,10468,11160,11480,12111,12551,13407,13611,13705,14130,15098,15540,17233,17838,17949,18352,19412,19434,19621,20046,20061,21105,21311,21573,21586,21747,22235,22710,22753,23585,23727,23819,23980,24244,24276,24395,24844,24854,25101,27064,27717,28304,29109,29432,30648,30705,32331,32402,32461,33107,33298,33600,33758,34693,35610,35920,36558,36641,36739,36993,37039,37562,37595,37778,37938,37956,38069,38077,38141,38606,38691,38896,39021,39416,39462,39727,40857,41087
greater 10012:40:1953,1953,3113,3319,4106,4371,4401,4999,5676,7572,10362,11568,12367,12376,12563,13575,13735,13736,14417,15468,21294,21412,21480,22180,22766,23669,24358,25047,26048,26084,27257,27509,29207,32933,33931,37629,37863,39873,41048,41124
greatest 10012:11:2613,2613,3005,14085,15686,16294,20671,21197,21621,28478,37336
greatli 10012:17:7476,7476,9700,15411,15674,16753,17578,18703,21433,23868,24753,27725,28704,33160,37257,39732,39755
green 10012:43:402,402,1149,4450,5344,6070,13073,13215,13883,14059,14183,14398,15693,16641,16806,17511,18249,18330,18896,19042,19212,20251,20354,22308,23053,24193,24622,24641,25774,26990,27288,29470,29656,29672,31387,31714,31768,35521,36854,37079,37089,37259,40133
greenest 10012:2:33262,33262
greenland 10012:5:1927,1927,2495,2817,8077
greet 10012:2:6924,6924
gregori 10012:2:42407,42407
grew 10012:5:36554,36554,37278,39050,40017
grim 10012:3:10683,10683,11028
grind 10012:8:3041,3041,6544,6549,8126,10531,35388,39082
grindelia 10012:2:36871,36871
grindelwald 10012:2:2570,2570
grindston 10012:2:3839,3839
grip 10012:5:26930,26930,31802,34385,34417
grist 10012:2:6555,6555
grizzli 10012:2:20502,20502
groov 10012:4:1662,1662,10887,12540
grope 10012:5:6476,6476,12943,28348,36108
grosbeak 10012:3:13102,13102,13722
gross 10012:2:41804,41804
grotesqu 10012:3:17765,17765,25851
grotto 10012:2:12788,12788
ground 10012:162:263,263,1091,1123,1183,1317,1871,2019,2064,2152,2361,2764,2935,3214,3224,3622,4404,4452,5355,5433,5470,6099,6598,10482,10800,12520,12679,12712,13154,13400,14283,14364,14381,14502,14959,15236,15340,15416,15523,15529,16277,16322,16624,16956,16994,17046,17083,17229,17306,17545,17628,18022,18056,18299,18862,19064,19143,19341,19496,19865,19903,19934,20099,20103,20160,20270,20347,20574,20719,20741,21081,21100,21111,21117,21140,21179,21189,21255,21310,21388,21627,21694,21708,22005,22045,22158,22279,22342,22445,22520,22783,22935,23027,23134,23167,23203,23229,23682,24043,24068,24161,24177,24843,24853,25458,25881,25994,26400,26619,27209,27317,27337,27567,27650,27769,28785,28987,29020,29086,29517,29658,29727,29965,30066,30373,31042,31239,31316,31512,31881,32730,33236,33669,33937,33996,34076,34618,34992,35936,35988,36851,36910,37061,37072,37293,37844,37885,38098,38124,38204,38452,38871,39232,39485,39515,40092,40115,40140,40146,40384,40701,40830
groundwork 10012:2:21957,21957
group 10012:41:229,229,633,1450,2437,2633,2682,2920,3364,3365,3382,3404,5162,5783,6468,8513,10050,10943,11419,13783,16198,16572,16929,18671,19677,20566,20601,20887,21980,23363,23528,24094,24273,27518,27582,32758,34171,35443,36918,40779,41930
grous 10012:4:13194,13194,14888,33596
