jacinto 10012:2:40252,40252
jack 10012:2:26457,26457
jag 10012:7:677,677,3726,10821,29563,32515,33182
jai 10012:6:24481,24481,25444,26275,30826,32202
jam 10012:2:32824,32824
jamb 10012:2:33619,33619
januari 10012:7:28535,28535,28740,37107,37133,37244,37474
japanes 10012:2:17572,17572
jar 10012:2:24425,24425
jaw 10012:5:3782,3782,25850,35531,35535
jefferson 10012:2:2646,2646
jeffrei 10012:3:18301,18301,25866
jerk 10012:2:25544,25544
jet 10012:5:5457,5457,27764,34760,39683
joaquin 10012:23:2467,2467,5662,7208,7820,7916,8809,16306,21538,21558,21675,23342,26219,26367,33141,33513,34349,34981,36694,37024,37648,37708,37738
job 10012:3:2191,2191,25362
john 10012:5:6,6,28,54,41162
johnson 10012:2:8643,8643
joi 10012:8:6380,6380,8707,11116,14665,14919,19383,30544
join 10012:11:766,766,10030,11043,11874,30199,30768,33659,36217,36777,39162
joint 10012:4:9906,9906,10767,35978
jolli 10012:3:36244,36244,39647
jose 10012:3:37537,37537,37593
joseph 10012:3:1929,1929,2500
jot 10012:2:12900,12900
journal 10012:2:17176,17176
journei 10012:10:4026,4026,4029,9332,11298,14481,16020,28170,28173,28367
joy 10012:5:8439,8439,9847,24470,29751
joyless 10012:2:30890,30890
joyou 10012:7:2006,2006,13671,19547,28217,30272,30505
joyous 10012:2:23171,23171
juan 10012:2:2988,2988
judgment 10012:3:7434,7434,14936
juic 10012:2:25328,25328
juici 10012:2:13998,13998
juli 10012:11:4299,4299,4492,8843,9788,18640,30005,37369,38796,39826,39886
jump 10012:11:295,295,8745,26228,26238,34033,34186,34465,34468,34490,34500
junction 10012:2:40880,40880
june 10012:14:4298,4298,4480,4634,4651,9787,13412,15310,18639,28233,33381,37368,38792,39825
jungl 10012:2:36731,36731
junip 10012:14:219,219,10036,12732,22683,22688,22807,22847,22920,24294,24348,25770,26922,27151
juniperu 10012:2:22686,22686
juvenil 10012:2:20177,20177
