pace 10012:2:17367,17367
pacheco 10012:2:544,544
pacif 10012:10:1920,1920,2737,2812,3334,8658,17099,25100,32531,35025
pack 10012:8:8574,8574,9294,9598,20364,23478,24004,34612
pad 10012:2:34383,34383
page 10012:5:35030,35030,42305,42399,42533
pah 10012:5:8971,8971,9256,33118,34563
pai 10012:4:41209,41209,41610,41801
paid 10012:7:41349,41349,41367,41834,41865,41901,42079
pain 10012:6:857,857,6929,7456,14375,37563
painfulli 10012:2:40074,40074
paint 10012:9:5234,5234,5933,5985,6400,12998,15849,17329,40987
pair 10012:6:17353,17353,30911,31244,34336,40106
pal 10012:2:32698,32698
palat 10012:3:24515,24515,25414
pale 10012:10:499,499,1148,3980,13009,14785,27752,27776,29797,39730
paler 10012:2:3961,3961
palm 10012:10:10993,10993,13471,16568,16593,17465,17469,18444,27113,40613
palmetto 10012:2:27998,27998
pan 10012:3:35992,35992,37656
panicl 10012:10:10001,10001,12692,12797,14323,14531,14729,15071,38168,38446
pansi 10012:2:37442,37442
pant 10012:2:1187,1187
panther 10012:2:34898,34898
paper 10012:3:26229,26229,42604
paperwork 10012:2:42478,42478
papilio 10012:2:14877,14877
parad 10012:2:14590,14590
paradis 10012:5:122,122,1099,2952,38916
paragraph 10012:15:41370,41370,41391,41410,41624,41633,41646,41697,41774,41788,41826,41897,42011,42047,42130
parallel 10012:8:18886,18886,19659,20138,22595,24072,32559,38063
parcel 10012:2:31868,31868
pardon 10012:2:31875,31875
parent 10012:2:32045,32045
park 10012:16:726,726,774,794,13283,16051,16205,18021,24757,24798,33560,33581,36536,37962,38028,40825
part 10012:45:2502,2502,2974,3272,3308,4143,4250,4477,4636,4752,4875,5000,5615,5673,7078,9544,9697,9972,10388,11161,11701,13880,14772,18284,19435,19706,20047,24546,28305,28453,28782,29110,29538,31867,32161,32471,37779,38078,38663,39744,41217,41318,41677,41690,42713
parti 10012:6:11550,11550,23756,36062,36173,42022
partial 10012:7:3260,3260,14668,15599,29157,33372,33416
particl 10012:11:2207,2207,2208,2241,2250,5452,11946,12007,29874,31764,36441
partli 10012:4:781,781,5449,27311
parvum 10012:2:19476,19476
pasadena 10012:2:40363,40363
pass 10012:94:71,71,444,545,1841,2080,3487,3510,3744,4664,5445,6461,6910,6949,7498,7899,8206,8412,8589,8598,8603,8623,8629,8644,8664,8709,8715,8722,8730,8747,8802,8837,8876,8889,8947,8955,8962,8997,9117,9133,9138,9156,9175,9229,9235,9274,9313,9318,9330,9364,9370,9397,9404,9429,9436,9471,9481,9485,9490,9495,9520,9706,9756,10023,10102,10192,10564,10653,10736,10780,11032,11159,11164,11224,11377,13637,13656,16046,16292,18133,19558,20756,21378,23355,25045,26225,28983,29094,29116,32097,33130,38777,40940,40972
passag 10012:5:683,683,3029,6796,10340
passion 10012:8:6266,6266,6377,27442,27621,28801,29210,29280
passiv 10012:2:30873,30873
pastur 10012:31:105,105,326,22026,22052,22287,33065,33283,34240,34990,35810,36508,36597,36622,36822,37542,37759,37860,37933,38605,38714,38776,38785,38813,38814,39424,39605,39991,40553,41013,41072
pasturag 10012:4:13333,13333,39700,39946
pat 10012:2:30179,30179
patch 10012:20:3141,3141,3248,3538,4193,10633,12697,15643,20581,21080,24138,32906,35934,36557,37407,38014,38419,38466,38891,40483
patent 10012:3:19095,19095,20811
path 10012:13:3454,3454,6484,9615,10267,10393,10590,10603,26059,27058,42715,42716,42722
pathwai 10012:4:685,685,6339,31660
patienc 10012:3:8738,8738,26717
patient 10012:7:8998,8998,9293,16387,26432,26561,26657
patriarch 10012:4:17048,17048,19240,27339
patter 10012:3:29850,29850,30130
pattern 10012:6:9903,9903,9917,16398,23634,39393
pattoniana 10012:2:22948,22948
pave 10012:2:29560,29560
pavement 10012:15:3236,3236,3415,3731,6964,10607,12076,12100,13427,15976,16223,16540,22695,29852,30112
paw 10012:8:23653,23653,25033,25591,25842,33405,39506,39518
payment 10012:4:41833,41833,41845,42546
pea 10012:2:23502,23502
peac 10012:3:13118,13118,28205
peach 10012:3:1275,1275,36791
peak 10012:97:443,443,580,641,651,1372,1444,1651,1996,2286,2414,2440,2938,3362,4150,4254,4336,4899,4979,4980,5105,5160,5239,5275,5280,5389,5413,5431,5446,5447,5475,5502,5521,5539,5557,5584,5593,5785,5803,5949,6198,6318,6405,6470,6511,6755,6934,6940,7094,7155,7756,7757,7833,7850,7852,7947,7975,8024,8083,8117,8241,8407,8432,8504,8996,9183,9418,9442,10822,11285,11358,11661,12269,12352,14496,14955,16243,16360,19517,19559,19797,23458,23564,24986,26799,26926,30017,30109,30316,33136,33421,33769,34073,34595,35881,35882,40675
pearl 10012:5:500,500,29934,35896,39571
pearli 10012:4:14173,14173,23499,29793
pebbl 10012:6:4948,4948,11845,30291,30659,31085
peck 10012:3:29697,29697,30793
peculiar 10012:16:5499,5499,5553,10459,15139,16804,18528,19377,20878,21502,21625,22602,23752,27480,30712,37970
peculiarli 10012:3:7743,7743,25221
pecuniari 10012:2:9594,9594
pediculari 10012:2:38514,38514
pee 10012:4:25571,25571,25615,25617
peel 10012:2:22423,22423
peep 10012:3:29675,29675,31863
peer 10012:2:11030,11030
peert 10012:2:25211,25211
pellaea 10012:2:12775,12775
pen 10012:2:17419,17419
pencil 10012:5:5422,5422,14787,17247,25957
pendul 10012:3:18659,18659,22618
penetr 10012:3:8012,8012,40294
pensiv 10012:2:5874,5874
pentstemon 10012:5:14765,14765,15853,36917,38988
peopl 10012:18:973,973,4289,5971,17734,28013,28716,29333,29714,32053,35085,35507,35545,40066,40462,41377,42256,42642
perceiv 10012:9:8021,8021,9744,11423,16121,16382,17208,21572,26095
percept 10012:3:27428,27428,35761
perch 10012:7:27861,27861,29701,31226,31392,33639,33640
perchanc 10012:3:14543,14543,17857
perenni 10012:9:12094,12094,13827,15760,15948,21239,25432,32007,37821
perfect 10012:28:1361,1361,3127,3234,4111,4914,5042,5489,5517,10907,11462,14196,15370,15884,17034,24918,25315,26685,26900,30990,32657,33982,34213,34501,36321,36437,36438,38915
perfectli 10012:19:357,357,4001,5441,6533,14066,15800,17686,21628,23138,26204,29771,29870,31693,33872,34411,34614,36407,38189
perform 10012:10:26540,26540,34312,34347,41254,41447,41522,41570,41685,41780
perfum 10012:3:17647,17647,27943
peril 10012:2:7497,7497
period 10012:40:1709,1709,1807,1946,2096,2179,3112,4569,4597,5675,5769,8069,8674,10534,11326,12373,15333,15408,15498,15500,20632,21421,21527,21713,21905,26862,28372,29917,31617,32857,35191,35199,35206,35396,35813,36897,37098,37505,39095,41841
perish 10012:5:21478,21478,34944,38560,40193
peristoma 10012:2:14816,14816
perman 10012:7:826,826,1718,29821,38733,38771,42287
permeat 10012:2:14928,14928
permiss 10012:9:39950,39950,41208,41241,41602,41626,41641,41661,41936
permit 10012:3:42164,42164,42358
perpendicular 10012:3:34447,34447,34470
perpetu 10012:6:13867,13867,13980,20893,37888,39317
perplex 10012:3:29178,29178,37690
persist 10012:6:7184,7184,10710,17802,26029,35319
person 10012:5:41365,41365,42083,42094,42107
pervad 10012:3:14230,14230,25387
perviou 10012:2:16666,16666
pestil 10012:2:9080,9080
pet 10012:2:32329,32329
petal 10012:6:15261,15261,19606,36885,37440,39189
petrel 10012:2:31456,31456
pew 10012:2:36274,36274
pg 10012:4:49,49,41182,42647
pglaf 10012:9:41417,41417,42308,42345,42387,42401,42413,42497,42553
phacelia 10012:2:36916,36916
phenomena 10012:9:2105,2105,3137,3210,20871,21236,21828,29161,29179
phenomenon 10012:3:4890,4890,5181
philadelphu 10012:2:39788,39788
phlox 10012:3:11135,11135,38546
photograph 10012:2:5936,5936
phrase 10012:5:41291,41291,41561,41565,41617
physic 10012:4:2224,2224,41886,42088
picicorvu 10012:2:26271,26271
pick 10012:8:1050,1050,3864,7355,7579,8313,17404,35993
pickeringia 10012:2:38046,38046
picolo 10012:2:33073,33073
pictur 10012:17:639,639,5333,5463,5725,5777,5907,6092,6128,7251,11703,13859,14192,14344,16720,34049,34116
picturesqu 10012:26:2864,2864,4676,4822,5720,5792,9051,10049,11099,12731,13782,15641,16833,17766,18874,20189,22803,23919,24028,24116,24401,24881,29756,33562,35705,35885
piec 10012:8:7214,7214,17425,20992,21098,26691,31688,35298
pile 10012:16:2355,2355,4557,5546,7037,7675,9290,13166,14977,22443,22903,25940,30869,35875,37303,40788
pilfer 10012:2:26019,26019
pillar 10012:2:20313,20313
pillillooeet 10012:3:25176,25176,26570
pillow 10012:2:19302,19302
pin 10012:2:20152,20152
pincer 10012:2:17355,17355
pinch 10012:6:13893,13893,13993,25375,30539,30558
pine 10012:258:161,161,166,171,178,183,190,196,232,234,238,242,250,833,885,994,1526,1550,1891,2010,2358,3463,3529,3570,3704,3758,5073,5094,5358,5805,5885,6157,6605,6776,6802,7057,7162,8449,8480,9242,9928,10010,10028,10034,10621,10692,11535,11929,12040,12134,12612,12664,12743,12833,13153,13187,13456,13516,13778,14462,14514,14553,14635,15180,16011,16056,16161,16318,16337,16342,16344,16354,16500,16534,16551,16555,16596,16682,16690,16778,16809,16913,16921,16973,17013,17017,17147,17164,17251,17276,17429,17501,17504,17574,17624,17656,17722,17727,17730,17747,17770,17775,17787,17845,17885,17894,17973,17980,18090,18095,18099,18105,18175,18205,18289,18384,18421,18463,18495,18535,18553,18565,18581,18583,18594,19628,20043,20910,21004,21041,21085,21094,21391,21476,21746,21773,21775,22116,22172,22246,22297,22460,22466,22533,22537,22613,22627,22639,22658,22752,22839,22873,22901,22913,23357,23426,23531,23532,23568,23642,23665,23717,23733,23746,23765,23791,23826,23830,23833,23838,23858,23875,23911,23926,23944,23947,23964,23985,23993,24125,24129,24188,24279,24308,24332,24498,24658,24704,24749,24976,25190,25279,25386,25449,25468,25686,25721,25766,25787,25861,25869,25896,25901,26362,26385,26521,26792,26844,26924,26949,26951,26953,26971,27002,27062,27126,27162,27179,27272,27285,27331,27396,27467,27735,27743,27797,28064,28755,28989,29070,29099,29100,29237,29258,29265,29301,29483,29622,29847,30859,30916,31194,31288,32346,33354,33528,33605,33627,33703,34071,34109,35795,35891,36354,38417,38490,38493,38868
pineappl 10012:2:18370,18370
pini 10012:5:25409,25409,27670,27928,36541
pinnacl 10012:3:6319,6319,7291
pinnat 10012:3:19037,19037,19193
pinu 10012:18:193,193,1142,16552,16683,16775,16821,17014,18091,18272,22062,22117,22534,23427,23441,23718,23839,24126
pioneer 10012:6:24767,24767,35328,35364,35445,39925
pipe 10012:5:11907,11907,17244,26165,32348
pistil 10012:2:14792,14792
pistol 10012:2:17371,17371
pit 10012:5:4646,4646,4945,7157,7177
pitch 10012:2:27458,27458
piti 10012:7:28715,28715,29716,29728,30555,30590,37930
pitt 10012:8:1472,1472,1585,2643,18312,28409,28420,38861
place 10012:99:715,715,1309,1323,2245,2316,2608,3068,3228,3338,3459,3919,3942,4004,4209,6535,7189,7480,7489,7939,9085,9105,9111,9289,9585,10184,10344,10596,10775,11050,11718,11873,11966,12418,13503,13684,13757,14262,14296,14693,14740,15435,15554,15830,16489,16524,16983,17235,17582,17915,17947,19601,20000,20662,21194,21200,21314,21442,21826,22267,23320,23484,23855,24570,26103,26996,27014,31107,31144,31191,31233,31462,31778,31913,31965,33228,33677,33707,34165,35096,35145,35172,35203,35694,36123,36367,36468,36968,37078,37580,37999,38257,38526,38608,38653,39486,40751,40762,41501
placer 10012:5:35280,35280,35287,35437,37770
plai 10012:12:5101,5101,5674,6824,12648,14167,24087,25624,28980,31339,35430,36398
plain 10012:74:138,138,1941,3820,7089,7818,8142,8157,8692,9464,9509,9654,10274,10415,11034,11066,11231,16303,18142,19791,21457,21565,21889,22292,22458,24141,24324,27924,28112,28606,28683,28726,29182,29593,30278,32410,34872,34978,35639,36500,36535,36643,36670,36701,36762,36805,37040,37123,37204,37269,37338,37459,37570,37597,37783,37851,37939,37982,37991,37993,38157,38381,38392,38403,38607,38762,38898,38949,39709,40218,41088,41730,41762,42614
plainli 10012:5:7014,7014,10997,27427,29168
plait 10012:2:15090,15090
plan 10012:5:2381,2381,6180,6297,32475
plane 10012:5:7459,7459,7468,24071,31957
planet 10012:3:15224,15224,29424
plant 10012:72:747,747,1114,1118,1236,1750,1997,2057,3851,6512,6575,7010,9849,10445,10466,11151,11856,11916,12132,12802,12816,14083,14582,14725,14949,15292,15420,15433,15797,15980,16907,16940,17090,18155,18994,19498,20407,21131,22249,24284,26881,27015,29431,30101,31328,32274,35942,36607,36825,36928,37112,37246,37281,37333,37366,37401,37420,37453,37979,37986,38033,38105,38627,38694,38867,38885,39201,39575,39607,39615,39706,40831
plash 10012:6:9983,9983,29849,30128,30193,36364
plat 10012:2:11850,11850
plate 10012:3:18232,18232,26471
plateau 10012:2:16416,16416
pleas 10012:2:26649,26649
pleasant 10012:2:19370,19370
pleasur 10012:10:4513,4513,6333,8852,12392,13096,14363,14380,14926,32397
plenti 10012:13:5698,5698,6161,6822,16884,18195,24528,24861,26369,29508,33112,39253,39257
plicat 10012:2:36375,36375
plod 10012:3:25349,25349,36138
plot 10012:2:37854,37854
plow 10012:6:549,549,36592,37803,37849,38748
pluck 10012:6:5351,5351,23675,26813,31737,31755
plum 10012:3:24624,24624,38888
plume 10012:13:5350,5350,10149,18866,18897,18906,19036,19298,27289,28069,28119,29620,31932
plumi 10012:2:18966,18966
plump 10012:3:13658,13658,30289
plung 10012:14:2344,2344,3860,6507,9181,12494,12951,13560,13813,18003,31188,31405,34263,39236
plush 10012:2:37344,37344
plushi 10012:6:3503,3503,10587,14294,19292,33260
pocket 10012:2:19991,19991
poem 10012:3:8059,8059,40649
poet 10012:3:17724,17724,35111
pohono 10012:3:11644,11644,11664
point 10012:30:1387,1387,2578,2600,4529,4554,4602,5118,5270,5427,6489,7584,7764,8191,8952,9991,15355,17258,17920,19131,21790,21835,24435,24491,30060,31153,34439,36035,38339,38942
pois 10012:7:14806,14806,17827,23146,29813,34038,39333
poland 10012:2:38811,38811
polar 10012:3:2505,2505,36330
pole 10012:6:1936,1936,24252,24373,24430,24441
polemonium 10012:2:38547,38547
polish 10012:16:3120,3120,3226,3235,3269,4208,6528,10341,10888,14808,16539,24015,29005,29806,31942,33548
polit 10012:2:35467,35467
pollen 10012:8:20349,20349,22245,27299,29618,38497,38504,39011
polleni 10012:5:36567,36567,36948,39228,39348
polytriclium 10012:2:14802,14802
pomp 10012:3:30242,30242,40947
pond 10012:4:21336,21336,21350,31181
ponder 10012:5:4854,4854,6531,20713,20805
ponderosa 10012:4:194,194,18092,18273
poni 10012:6:8768,8768,9298,24393,24410,37807
pool 10012:21:1203,1203,3714,3715,4706,5856,6630,10168,11312,11605,12950,28460,30460,30973,31031,36078,36221,36362,40582,40639,40888
poor 10012:7:17224,17224,29390,35354,40076,40107,40163
poplar 10012:3:3470,3470,33606
poppi 10012:2:11136,11136
popul 10012:2:26149,26149
pore 10012:3:19310,19310,25388
porou 10012:6:3277,3277,3948,4054,28343,39128
porphyrit 10012:2:12507,12507
port 10012:3:18108,18108,39882
portal 10012:2:3591,3591
