quadrivitatu 10012:2:26258,26258
quadrup 10012:3:26138,26138,35033
quail 10012:6:1197,1197,14890,26166,31489,40100
quaint 10012:2:30820,30820
qualiti 10012:2:15808,15808
quantiti 10012:19:2180,2180,5598,8649,11438,14024,15469,17398,17705,21120,21975,23820,24532,27712,28576,35449,38496,39152,39728
quarter 10012:5:4291,4291,14574,24488,28541
quartz 10012:6:1056,1056,16902,35065,35996,36011
queen 10012:2:20534,20534
queer 10012:3:16920,16920,35513
quercu 10012:5:1140,1140,24692,24738,24771
querul 10012:2:30755,30755
question 10012:12:8222,8222,8978,12396,20784,20873,20884,21454,21784,21922,32850,34345
quick 10012:12:2005,2005,2041,8369,25210,25325,26174,27173,27794,30035,32105,33917
quickest 10012:2:17408,17408
quickli 10012:7:8020,8020,20820,21303,26499,27954,35905
quiescenc 10012:2:1710,1710
quiet 10012:3:9702,9702,9715
quietli 10012:9:10260,10260,22341,27869,27977,32189,33212,33489,33856
quit 10012:2:17190,17190
quiver 10012:5:17237,17237,25684,39260,39288
quot 10012:2:17177,17177
