rabbit 10012:3:1209,1209,10706
raccoon 10012:2:17215,17215
race 10012:7:19640,19640,20894,22327,23165,37887,40120
racem 10012:2:19489,19489
radianc 10012:3:582,582,12528
radiant 10012:8:14050,14050,15169,18257,24041,24100,36674,36856
radiat 10012:11:1643,1643,2672,7166,14021,15085,16635,18616,24008,28619,39069
radiu 10012:5:1412,1412,7934,11304,35079
rafael 10012:2:40248,40248
raft 10012:2:31333,31333
rag 10012:6:6850,6850,13937,15321,38465,38890
rai 10012:10:4463,4463,4916,10346,15194,18070,18455,37273,37430,37437
rail 10012:3:28876,28876,30055
railroad 10012:4:8659,8659,9386,35026
rain 10012:59:1103,1103,2136,2842,3262,8353,15493,17160,18473,18926,20826,21261,21416,21461,22307,26749,27211,27878,28248,28497,28507,28570,28578,28589,28598,28641,28647,28650,28754,28783,28896,28907,29032,29051,29187,29226,29395,29446,29501,29532,29558,29596,29747,29843,29888,30062,30095,37052,37101,37129,37137,37148,37166,37176,37216,38391,39555,40009,41066
rainbow 10012:5:534,534,15087,15241,31858
raindrop 10012:7:15238,15238,29191,29427,30083,30211,39590
rainfal 10012:4:21500,21500,38914,39974
raini 10012:6:28493,28493,36901,37093,37134,37144
rainier 10012:6:121,121,2651,2658,2951,34812
rainless 10012:3:37485,37485,39996
rais 10012:3:32416,32416,37622
raiser 10012:2:34428,34428
rake 10012:2:38618,38618
ram 10012:11:284,284,32945,32978,32988,33189,33198,33506,34331,34338,34514
rambl 10012:5:1171,1171,10969,32141,40448
ran 10012:4:4044,4044,6166,26243
ranch 10012:19:302,302,313,323,17616,24350,24389,36894,37646,37665,37825,38759,38923,39893,39918,39941,40034,40203,40773
rancher 10012:2:40445,40445
