sabin 10012:2:38416,38416
sabiniana 10012:4:1143,1143,16553,16684
sack 10012:3:8981,8981,24377
sacr 10012:2:14609,14609
sacramento 10012:11:16304,16304,21752,24564,24581,24697,28411,29550,34979,36689,37736
sad 10012:5:30529,30529,32388,36594,37927
saddest 10012:2:40181,40181
saddl 10012:2:24420,24420
sadli 10012:3:6079,6079,39964
safe 10012:14:4627,4627,6491,8255,10916,11201,23262,23660,25466,26730,27655,31911,33191,37569
safer 10012:2:9073,9073
safest 10012:2:8841,8841
safeti 10012:4:20083,20083,31184,33234
sagac 10012:4:9302,9302,9587,34714
sage 10012:12:311,311,10273,10705,24140,24326,24457,34871,39657,39718,39742,41031
sail 10012:9:13093,13093,14878,31332,34479,34540,35778,39399,40089
saith 10012:2:17729,17729
sake 10012:3:19940,19940,20153
sale 10012:2:17641,17641
salli 10012:2:30611,30611
saloon 10012:2:35474,35474
salt 10012:2:42381,42381
salut 10012:2:32508,32508
salvia 10012:2:36919,36919
same 10012:2:17732,17732
san 10012:51:307,307,315,445,2466,5661,6456,7207,7819,7915,8808,16305,21537,21557,21674,23341,26218,26366,33140,33512,34348,34980,36693,37023,37512,37527,37536,37592,37647,37707,37737,38283,39653,39847,39875,39883,39921,40036,40045,40185,40247,40249,40251,40253,40269,40337,40567,40599,40656,40938,41026
sand 10012:15:2694,2694,4773,4949,6446,11156,11843,12039,12646,13297,15386,23621,28956,33410,39130
sandi 10012:3:21072,21072,39802
sandpip 10012:3:32157,32157,32193
sandston 10012:2:35637,35637
sang 10012:11:2380,2380,4507,6376,6859,26489,26543,30675,32122,33643,36940
santa 10012:5:37543,37543,38090,40048,40245
sap 10012:2:17692,17692
sapl 10012:15:16949,16949,18672,19251,19825,19837,20173,20248,20890,20945,20963,20988,21097,22011,36344
sarcod 10012:2:18037,18037
sat 10012:11:3635,3635,17345,32149,32343,32466,33833,37640,37716,40392,40430
satini 10012:2:15148,15148
satisfi 10012:2:17344,17344
satur 10012:4:8403,8403,15893,21304
saunter 10012:15:8322,8322,8498,9724,12632,13294,14674,18066,19340,28180,29599,33491,36188,36923,39262
savag 10012:11:680,680,1053,6078,6469,6761,7664,14340,26195,29082,32271
savannah 10012:2:14351,14351
save 10012:15:2397,2397,9120,13405,15060,16445,17362,26858,30175,33147,35428,35772,40128,40230,40257
savori 10012:2:25411,25411
saxifrag 10012:3:29664,29664,30157
scale 10012:24:248,248,6299,7557,7578,16711,16739,17521,17532,18663,20362,23063,24256,25798,25815,25888,25894,25914,25952,26430,33214,34127,35239,37359
scalp 10012:2:35293,35293
scamper 10012:2:7140,7140
scan 10012:5:6086,6086,7575,8197,31971
scantili 10012:3:9765,9765,22738
scar 10012:6:10877,10877,19893,19970,22112,22407
scarc 10012:46:1193,1193,1285,3103,3702,6637,6684,8758,8923,9728,9923,10214,12812,12883,12898,13510,13996,14304,14704,14730,15336,15385,15749,16672,16814,18317,18379,21845,22137,22696,22894,23346,28046,28885,28904,30102,31871,35114,35760,36007,37680,38456,38919,39956,39998,41018
scarciti 10012:2:33108,33108
scare 10012:2:25526,25526
scarf 10012:2:24404,24404
scarlet 10012:2:40854,40854
scatter 10012:15:1571,1571,3291,10018,13564,16571,18708,22659,23566,23736,26118,30059,34247,38874,42373
