yakutat 10012:2:3071,3071
yard 10012:16:11633,11633,13435,13555,13987,15713,22875,28394,31198,31350,32126,33355,33980,37426,39018,40740
yarrow 10012:2:10128,10128
yawn 10012:3:7356,7356,7668
year 10012:122:568,568,853,1313,1531,1766,2079,3151,3352,4030,4121,4122,4431,5686,6330,8672,8909,8992,9315,11782,11798,12108,12238,13244,13245,13577,14127,15037,15510,16000,16017,16824,17101,17117,17118,17546,17613,17937,17956,17957,18842,19033,19160,19236,19343,19908,19944,19956,19958,20174,20289,20403,20444,20661,20706,20731,20742,20747,20787,20813,20860,20974,21001,21912,21952,22412,22682,22866,23038,23612,23691,23695,23706,23822,24107,25987,26133,26346,26608,27971,28011,28247,28947,30090,30312,30915,30957,31884,32473,32896,33077,33086,34958,35425,36589,36591,37076,37383,37585,37610,37635,37768,37819,38506,38628,38629,38843,39699,39852,39862,39885,39967,39992,40043,40111,40180,40209,40275,40331,42577,42695,42709
yellow 10012:56:237,237,517,884,3476,3507,5343,5924,6063,6415,7813,9768,10032,13010,13041,14033,14753,14762,14788,15639,16343,17452,17556,17774,17972,18088,18094,18248,18653,18824,19554,20258,22239,22459,23093,23963,24635,24811,25868,25951,26384,27000,27749,29469,29634,29673,31715,33536,33575,33678,36877,36994,37090,37323,37433,38018
yellowish 10012:7:17535,17535,23940,31978,32913,32939,38163
yellowston 10012:3:1504,1504,32726
yesterdai 10012:2:12150,12150
yew 10012:2:24591,24591
yield 10012:13:4259,4259,9720,16691,23188,29201,38292,38780,39131,39726,39830,39868,39874
yonder 10012:6:2347,2347,8116,23562,28057,34451
york 10012:3:37525,37525,37588
yosemit 10012:70:127,127,130,144,271,776,1382,2287,2337,3374,3392,3687,4902,5053,5126,5311,5646,5696,5712,5966,6294,7906,8583,8868,8882,8892,8934,9617,10727,11203,11300,11642,11673,11688,11692,12118,12446,12487,12513,12930,12966,13292,13650,13802,14482,16040,18282,18288,18389,18730,18765,19157,20059,24756,24804,24838,26220,28829,30003,30120,30321,30602,30690,31891,32433,33565,33739,33753,33987,36302
young 10012:59:181,181,2029,2069,5849,6137,8135,9362,11761,11917,12978,14201,17005,17883,17904,18650,18666,19203,19823,19835,20155,20266,20611,20678,20888,20959,20977,21021,21802,21997,22222,23056,23247,23326,23496,23886,23927,24108,24391,26681,27329,27593,29311,29487,29665,32038,32046,32245,32479,33173,33385,34854,35113,37083,37260,38253,38730,39527,40114
younger 10012:6:5756,5756,5760,5763,11838,18857
youngest 10012:2:13852,13852
youth 10012:8:13738,13738,17898,17927,18629,18839,19011,20428
yuba 10012:8:27206,27206,28560,28610,28742,28855,29570,38859
