q1 10136:1:148982
q22 10409:2:10076,33350
qabauil 11029:2:24681,29190
qachun 10040:1:565
qacr 10814:1:23381
qaddour 10085:4:29305,29311,29655,30040
qadhi 10163:23:8669,8692,8713,8736,8745,8749,8768,8779,8791,8810,8824,8859,8864,8896,8902,8910,8972,8990,9008,9054,9064,9216,14098
qaestor 10657:1:61711
qaje 10943:1:2182
qak 10040:1:508
qal 10636:1:71730
qalam 10636:2:73087,73097
qamadin 10636:1:69613
qanooni 12370:1:31735
qara 10636:1:64408
qari 10163:1:14099
qarmatian 10163:2:7054,14102
qarqami 10887:1:34484
qasr 10636:1:71798
qatuzili 10887:1:30197
qc 10655:2:9513,9514
qderico 10600:1:67276
qe 10636:10:30738,35742,35897,35986,35993,38044,38224,84988,111124,134164
qed 10806:1:8271
qee 10040:1:1531
qei 10085:1:30474
qettar 10085:1:29721
qeum 11160:8:10615,10755,10801,30760,30770,30783,47039,47319
qhortabah 10356:2:498,17570
qi 10636:1:38161;10040:1:467
qil 10138:2:8283,8869
qn 10612:3:2782,2794,2927
qoraen 11198:1:7502
qoraish 10163:5:7775,7814,7901,9809,14103
qoraishit 10163:5:2523,7764,7799,9823,9826
qoran 11198:29:340,756,771,1022,1329,1531,1950,2291,2703,2719,2893,2905,3007,3024,3059,3431,3490,3503,3625,3680,3857,4034,4129,5720,5800,6167,6246,6267,6272;10163:78:994,1066,1447,1526,1670,1729,1787,1825,1835,1849,1925,1936,1999,2029,2030,2091,2242,2330,2390,2514,2549,2559,2569,2867,3122,3171,3528,3604,3720,3813,3872,3899,3942,3948,3959,3966,3980,3986,4000,4001,4053,4252,4264,4956,5049,5211,5406,5512,5533,5548,5581,5588,5684,5746,5793,6248,6339,6353,6412,6716,6766,7144,7224,7534,7554,7692,8492,9378,10613,10623,11029,12183,12430,12675,12851,14100,14104,14107
qorechyt 10085:1:31086
qoth 10925:1:11138
qoulah 10096:1:7589
qq 10835:2:16876,17467;10979:2:253,254
qqichua 11029:2:880,1955
qquent 10772:1:24845
qquichua 11029:33:887,1863,1871,1876,1914,15780,19452,19459,19530,19546,19548,19575,19687,19910,20401,20808,20824,21227,21265,21312,21655,22225,22344,22372,22415,22774,22883,22889,22952,23445,24507,28686,29193
qquonn 11029:2:22930,29195
qr 10632:3:825,7375,9758;10998:4:41294,41360,41407,41504;10908:2:39169,39888
qrabert 10355:1:20479
qrand 10861:1:53013
qrq 10908:2:39166,39885
qrt 10908:2:39172,39891
qsar 10085:1:32919
qt 10632:15:1209,1298,1425,1490,1512,1551,1603,1711,1755,1814,1831,1849,3488,5800,7955
qtn 10632:3:826,7376,9759
qto 10734:2:39742,39861
